ID,Degree,Betweenness,Closeness,Alpha_Centrality,Eigen_centrality,KNN (Average nearest neighbor degree),Harmonic_centrality,Kleinberg's hub centrality,Strength (Summing up the edge weights of the adjacent edges for each vertex)
"Ari",1.34493671,1.81309838,1.12731098,1.270908,1.15779578,0.95753745,1.11899563,1.30665005,1.34493671
"Bivalv",0.79113924,0.98027559,0.91964843,0.83930705,0.84419396,0.87152856,0.9279476,0.69467208,0.79113924
"Calli",1.18670886,0.79456733,1.05898911,-2.43876941,1.12442602,1.02758739,1.06441048,1.23241545,1.18670886
"Carang",0.94936709,0.49337888,0.97074001,-2.26702509,1.01389137,1.03839146,0.98253275,1.00202421,0.94936709
"Centrop",1.26582278,1.08660364,1.09208252,1.98476703,1.15237772,1.00387845,1.09170306,1.29444937,1.26582278
"Chan",0.47468354,0.45768297,0.83206287,1.14994026,0.68233752,0.99637562,0.81877729,0.4538307,0.47468354
"Elop",0.71202532,0.18808119,0.89606771,3.50507766,0.88071055,1.06440127,0.90065502,0.75606956,0.71202532
"Fitopl",0.39556962,0.18485915,0.81271257,1.37096774,0.5746115,0.86432584,0.79148472,0.32184294,0.39556962
"Gastro",1.10759494,1.35536901,1.02784237,1.859319,1.04567011,0.94149779,1.0371179,1.06582217,1.10759494
"Gerre",1.10759494,0.66735837,1.02784237,3.10782557,1.09733983,1.06497291,1.0371179,1.17375551,1.10759494
"Gobi",1.10759494,0.89041582,1.02784237,5.23894863,1.07870081,1.02381454,1.0371179,1.13422018,1.10759494
"Gusan",1.42405063,2.25382159,1.16488802,0.13142174,1.18549337,0.93635299,1.14628821,1.369915,1.42405063
"Haemu",1.02848101,1.09085896,0.99847544,1.40681004,1.01277128,0.97513685,1.00982533,0.99981146,1.02848101
"Lutja",1.02848101,1.03852476,0.99847544,2.73894863,1.01021497,0.95297465,1.00982533,0.99477064,1.02848101
"MicroCrus",1.66139241,3.85608669,1.29432002,3.75,1.25942692,0.90891408,1.22816594,1.54611326,1.66139241
"Mugil",1.02848101,0.77605982,0.99847544,4.16367981,1.04533959,1.047164,1.00982533,1.0651485,1.02848101
"Palaemo",0.79113924,0.20540102,0.91964843,-0.44802867,0.95511961,1.13802902,0.9279476,0.8892234,0.79113924
"Panae",1.02848101,0.51204517,0.99847544,-2.78972521,1.06895903,1.07486675,1.00982533,1.11382633,1.02848101
"PecAgu",1.10759494,1.08114792,1.02784237,0.65710872,1.0607551,0.97751137,1.0371179,1.09679539,1.10759494
"PecDeFon",0.55379747,0.16528659,0.85235709,-4.28912784,0.78808662,1.12156567,0.84606987,0.60540119,0.55379747
"PelaMen",0.87025316,0.7931764,0.9445038,-0.14336918,0.95312024,1.02802392,0.95524017,0.88550445,0.87025316
"Poeci",0.55379747,0.10277135,0.85235709,-2.24014337,0.80283918,1.15243445,0.84606987,0.62827891,0.55379747
"ProdPrimBen",1.34493671,1.74212329,1.12731098,0.74223417,1.16768105,0.96601123,1.11899563,1.32905767,1.34493671
"Sciae",1.18670886,1.05416981,1.05898911,-3.72759857,1.10918845,0.9843711,1.06441048,1.19923982,1.18670886
"Zoopl",0.94936709,1.41683629,0.97074001,9.4265233,0.92894943,0.88233263,0.98253275,0.84116173,0.94936709
